Batch size: 1, Sequence length: 64, Embedding dimension: 4096, Number of tensors: 4, Average Time taken: 0.0002s, Average Bandwidth: 5.30 GB/s
Batch size: 1, Sequence length: 64, Embedding dimension: 4096, Number of tensors: 8, Average Time taken: 0.0003s, Average Bandwidth: 6.45 GB/s
Batch size: 1, Sequence length: 64, Embedding dimension: 4096, Number of tensors: 16, Average Time taken: 0.0005s, Average Bandwidth: 7.52 GB/s
Batch size: 1, Sequence length: 64, Embedding dimension: 4096, Number of tensors: 32, Average Time taken: 0.0017s, Average Bandwidth: 5.45 GB/s
Batch size: 1, Sequence length: 64, Embedding dimension: 7168, Number of tensors: 4, Average Time taken: 0.0002s, Average Bandwidth: 7.94 GB/s
Batch size: 1, Sequence length: 64, Embedding dimension: 7168, Number of tensors: 8, Average Time taken: 0.0004s, Average Bandwidth: 7.87 GB/s
Batch size: 1, Sequence length: 64, Embedding dimension: 7168, Number of tensors: 16, Average Time taken: 0.0009s, Average Bandwidth: 7.59 GB/s
Batch size: 1, Sequence length: 64, Embedding dimension: 7168, Number of tensors: 32, Average Time taken: 0.0021s, Average Bandwidth: 6.79 GB/s
Batch size: 1, Sequence length: 128, Embedding dimension: 4096, Number of tensors: 4, Average Time taken: 0.0002s, Average Bandwidth: 8.68 GB/s
Batch size: 1, Sequence length: 128, Embedding dimension: 4096, Number of tensors: 8, Average Time taken: 0.0005s, Average Bandwidth: 8.63 GB/s
Batch size: 1, Sequence length: 128, Embedding dimension: 4096, Number of tensors: 16, Average Time taken: 0.0012s, Average Bandwidth: 7.06 GB/s
Batch size: 1, Sequence length: 128, Embedding dimension: 4096, Number of tensors: 32, Average Time taken: 0.0022s, Average Bandwidth: 7.12 GB/s
Batch size: 1, Sequence length: 128, Embedding dimension: 7168, Number of tensors: 4, Average Time taken: 0.0004s, Average Bandwidth: 8.53 GB/s
Batch size: 1, Sequence length: 128, Embedding dimension: 7168, Number of tensors: 8, Average Time taken: 0.0009s, Average Bandwidth: 7.84 GB/s
Batch size: 1, Sequence length: 128, Embedding dimension: 7168, Number of tensors: 16, Average Time taken: 0.0017s, Average Bandwidth: 7.94 GB/s
Batch size: 1, Sequence length: 128, Embedding dimension: 7168, Number of tensors: 32, Average Time taken: 0.0044s, Average Bandwidth: 6.51 GB/s
Batch size: 1, Sequence length: 256, Embedding dimension: 4096, Number of tensors: 4, Average Time taken: 0.0009s, Average Bandwidth: 4.60 GB/s
Batch size: 1, Sequence length: 256, Embedding dimension: 4096, Number of tensors: 8, Average Time taken: 0.0018s, Average Bandwidth: 4.54 GB/s
Batch size: 1, Sequence length: 256, Embedding dimension: 4096, Number of tensors: 16, Average Time taken: 0.0056s, Average Bandwidth: 2.82 GB/s
Batch size: 1, Sequence length: 256, Embedding dimension: 4096, Number of tensors: 32, Average Time taken: 0.0114s, Average Bandwidth: 2.79 GB/s
Batch size: 1, Sequence length: 256, Embedding dimension: 7168, Number of tensors: 4, Average Time taken: 0.0029s, Average Bandwidth: 2.62 GB/s
Batch size: 1, Sequence length: 256, Embedding dimension: 7168, Number of tensors: 8, Average Time taken: 0.0049s, Average Bandwidth: 2.82 GB/s
Batch size: 1, Sequence length: 256, Embedding dimension: 7168, Number of tensors: 16, Average Time taken: 0.0094s, Average Bandwidth: 2.92 GB/s
Batch size: 1, Sequence length: 256, Embedding dimension: 7168, Number of tensors: 32, Average Time taken: 0.0185s, Average Bandwidth: 2.96 GB/s
Batch size: 1, Sequence length: 512, Embedding dimension: 4096, Number of tensors: 4, Average Time taken: 0.0028s, Average Bandwidth: 2.77 GB/s
Batch size: 1, Sequence length: 512, Embedding dimension: 4096, Number of tensors: 8, Average Time taken: 0.0054s, Average Bandwidth: 2.88 GB/s
Batch size: 1, Sequence length: 512, Embedding dimension: 4096, Number of tensors: 16, Average Time taken: 0.0106s, Average Bandwidth: 2.95 GB/s
Batch size: 1, Sequence length: 512, Embedding dimension: 4096, Number of tensors: 32, Average Time taken: 0.0209s, Average Bandwidth: 2.99 GB/s
Batch size: 1, Sequence length: 512, Embedding dimension: 7168, Number of tensors: 4, Average Time taken: 0.0048s, Average Bandwidth: 2.83 GB/s
